iter	Passed	Remaining
630	12115	45485
631	12134	45465
632	12155	45453
633	12175	45438
634	12197	45427
635	12215	45403
636	12232	45377
637	12251	45356
638	12268	45329
639	12288	45313
640	12306	45291
641	12324	45267
642	12342	45243
643	12362	45225
644	12380	45203
645	12400	45185
646	12418	45163
647	12437	45144
648	12456	45124
649	12476	45108
650	12495	45088
651	12515	45070
652	12534	45050
653	12554	45036
654	12575	45022
655	12594	45002
656	12614	44986
657	12635	44971
658	12653	44948
659	12671	44926
660	12690	44906
661	12710	44891
662	12728	44866
663	12745	44840
664	12764	44821
665	12783	44800
666	12803	44783
667	12822	44764
668	12840	44741
669	12861	44726
670	12879	44702
671	12899	44688
672	12918	44668
673	12940	44659
674	12962	44647
675	12982	44633
676	13003	44619
677	13023	44603
678	13044	44587
679	13063	44568
680	13081	44546
681	13102	44532
682	13124	44522
683	13143	44504
684	13164	44491
685	13184	44474
686	13206	44463
687	13226	44448
688	13248	44435
689	13267	44417
690	13287	44400
691	13306	44379
692	13324	44357
693	13342	44335
694	13362	44317
695	13382	44301
696	13401	44280
697	13421	44263
698	13439	44240
699	13458	44222
700	13478	44203
701	13496	44182
702	13515	44161
703	13534	44139
704	13552	44116
705	13570	44095
706	13588	44071
707	13607	44052
708	13627	44034
709	13648	44020
710	13667	44002
711	13686	43981
712	13705	43960
713	13724	43940
714	13746	43930
715	13765	43911
716	13784	43891
717	13802	43867
718	13821	43847
719	13840	43827
720	13858	43806
721	13878	43789
722	13898	43771
723	13917	43753
724	13937	43735
725	13957	43716
726	13976	43698
727	13994	43675
728	14013	43655
729	14032	43636
730	14053	43622
731	14073	43604
732	14090	43578
733	14109	43558
734	14126	43533
735	14146	43515
736	14165	43496
737	14190	43495
738	14208	43470
739	14227	43450
740	14245	43429
741	14264	43408
742	14283	43388
743	14302	43367
744	14320	43346
745	14339	43325
746	14357	43301
747	14375	43280
748	14394	43261
749	14413	43240
750	14432	43220
751	14451	43200
752	14470	43181
753	14489	43161
754	14507	43138
755	14525	43114
756	14545	43098
757	14566	43085
758	14585	43065
759	14604	43043
760	14622	43022
761	14644	43009
762	14664	42995
763	14683	42975
764	14701	42952
765	14719	42929
766	14739	42911
767	14757	42890
768	14777	42870
769	14796	42853
770	14815	42831
771	14834	42813
772	14855	42797
773	14874	42778
774	14895	42763
775	14913	42742
776	14933	42725
777	14953	42708
778	14973	42690
779	14992	42671
780	15012	42654
781	15033	42638
782	15052	42619
783	15071	42599
784	15090	42580
785	15109	42561
786	15129	42542
787	15148	42524
788	15167	42503
789	15186	42484
790	15205	42464
791	15224	42444
792	15244	42428
793	15263	42408
794	15282	42386
795	15300	42365
796	15319	42345
797	15340	42330
798	15360	42314
799	15381	42300
800	15401	42282
801	15422	42268
802	15444	42255
803	15468	42248
804	15490	42237
805	15510	42220
806	15529	42202
807	15548	42181
808	15567	42160
809	15585	42138
810	15604	42117
811	15622	42095
812	15639	42070
813	15667	42074
814	15687	42057
815	15706	42039
816	15725	42017
817	15745	42001
818	15765	41983
819	15786	41970
820	15804	41947
821	15823	41926
822	15842	41907
823	15862	41889
824	15882	41871
825	15900	41849
826	15918	41826
827	15939	41811
828	15959	41793
829	15977	41772
830	15995	41749
831	16013	41727
832	16033	41710
833	16052	41690
834	16073	41675
835	16092	41654
836	16110	41633
837	16130	41615
838	16151	41601
839	16171	41584
840	16190	41563
841	16212	41551
842	16231	41532
843	16249	41510
844	16269	41492
845	16289	41475
846	16310	41458
847	16329	41440
848	16352	41429
849	16371	41409
850	16393	41397
851	16411	41374
852	16428	41351
853	16448	41332
854	16468	41316
855	16488	41297
856	16507	41279
857	16526	41258
858	16547	41243
859	16568	41229
860	16588	41211
861	16607	41192
862	16627	41172
863	16646	41154
864	16666	41135
865	16685	41116
